letter_li,number_li
"['b', 'a', 'b', 'e', 'l', 'i', 's', 'h']","[3, 2, 3, 6, 13, 10, 20, 9]"
"['b', 'a', 'b', 'o', 'u', 'v', 'i', 's', 't']","[3, 2, 3, 16, 22, 23, 10, 20, 21]"
"['b', 'a', 'b', 'y', 'l', 'o', 'n']","[3, 2, 3, 26, 13, 16, 15]"
"['b', 'a', 'b', 'y', 'l', 'o', 'n', 'i', 'a']","[3, 2, 3, 26, 13, 16, 15, 10, 2]"
"['b', 'a', 'c', 'c', 'h', 'a', 'n', 'a', 'l', 'i', 'a']","[3, 2, 4, 4, 9, 2, 15, 2, 13, 10, 2]"
"['b', 'a', 'c', 'h']","[3, 2, 4, 9]"
"['b', 'a', 'c', 'i']","[3, 2, 4, 10]"
"['b', 'a', 'd', 'a', 'j', 'o', 'z']","[3, 2, 5, 2, 11, 16, 27]"
"['b', 'a', 'h', 'a']","[3, 2, 9, 2]"
"['b', 'a', 'i', 'k', 'a', 'l']","[3, 2, 10, 12, 2, 13]"
"['b', 'a', 'k', 'l', 'a', 'h', 'o', 'r', 'a', 'n', 'i']","[3, 2, 12, 13, 2, 9, 16, 19, 2, 15, 10]"
"['b', 'a', 'k', 'u']","[3, 2, 12, 22]"
"['b', 'a', 'l', 'k', 'a', 'n']","[3, 2, 13, 12, 2, 15]"
"['b', 'a', 'l', 't', 'h', 'a', 'z', 'a', 'r']","[3, 2, 13, 21, 9, 2, 27, 2, 19]"
"['b', 'a', 'n', 'd', 'a', 'r', ' ', 's', 'e', 'r', 'i', ' ', 'b', 'e', 'g', 'a', 'w', 'a', 'n']","[3, 2, 15, 5, 2, 19, 0, 20, 6, 19, 10, 0, 3, 6, 8, 2, 24, 2, 15]"
"['b', 'a', 'n', 'g', 'a', 'l', 'o', 'r', 'e']","[3, 2, 15, 8, 2, 13, 16, 19, 6]"
"['b', 'a', 'n', 't', 'u']","[3, 2, 15, 21, 22]"
"['b', 'a', 'r', 'a', 'k']","[3, 2, 19, 2, 12]"
"['b', 'a', 'r', 'b', 'a', 'd', 'o', 's']","[3, 2, 19, 3, 2, 5, 16, 20]"
"['b', 'a', 'r', 'b', 'a', 'r', 'o', 's', 's', 'a']","[3, 2, 19, 3, 2, 19, 16, 20, 20, 2]"
"['b', 'a', 'r', 'b', 'u', 'd', 'a']","[3, 2, 19, 3, 22, 5, 2]"
"['b', 'a', 'r', 'u', 'c', 'h']","[3, 2, 19, 22, 4, 9]"
"['b', 'a', 's', 'h', 'e', 'e', 'r']","[3, 2, 20, 9, 6, 6, 19]"
"['b', 'a', 's', 'h', 'i', 'r']","[3, 2, 20, 9, 10, 19]"
"['b', 'a', 's', 'h', 'k', 'i', 'r']","[3, 2, 20, 9, 12, 10, 19]"
"['b', 'a', 's', 'h', 'k', 'i', 'r', 'i', 'a']","[3, 2, 20, 9, 12, 10, 19, 10, 2]"
"['b', 'a', 's', 'h', 'k', 'i', 'r', 'i', 'a', 'n']","[3, 2, 20, 9, 12, 10, 19, 10, 2, 15]"
"['b', 'a', 's', 'h', 'k', 'o', 'r', 't', 'o', 's', 't', 'a', 'n']","[3, 2, 20, 9, 12, 16, 19, 21, 16, 20, 21, 2, 15]"
"['b', 'a', 's', 'q', 'u', 'e']","[3, 2, 20, 18, 22, 6]"
"['b', 'a', 's', 'q', 'u', 'i', 's', 'h']","[3, 2, 20, 18, 22, 10, 20, 9]"
"['b', 'a', 's', 't', 'e', 't']","[3, 2, 20, 21, 6, 21]"
"['b', 'a', 't', 'a', 'v', 'i', 'a']","[3, 2, 21, 2, 23, 10, 2]"
"['b', 'a', 'u', 'e', 'r']","[3, 2, 22, 6, 19]"
"['b', 'a', 'u', 'm', 'k', 'u', 'c', 'h', 'e', 'n']","[3, 2, 22, 14, 12, 22, 4, 9, 6, 15]"
"['b', 'a', 'u', 'm', 'é']","[3, 2, 22, 14, 36]"
"['b', 'e', 'a', 't', 'r', 'i', 'c', 'e']","[3, 6, 2, 21, 19, 10, 4, 6]"
"['b', 'e', 'e', 'l', 'z', 'e', 'b', 'u', 'b']","[3, 6, 6, 13, 27, 6, 3, 22, 3]"
"['b', 'e', 'e', 'l', 'z', 'e', 'b', 'u', 'b', 'i', 'a', 'n']","[3, 6, 6, 13, 27, 6, 3, 22, 3, 10, 2, 15]"
"['b', 'e', 'i', 'r', 'u', 't']","[3, 6, 10, 19, 22, 21]"
"['b', 'e', 'l', 'g', 'i', 'c']","[3, 6, 13, 8, 10, 4]"
"['b', 'e', 'l', 'g', 'i', 'u', 'm']","[3, 6, 13, 8, 10, 22, 14]"
"['b', 'e', 'l', 'g', 'o', 'r', 'o', 'd']","[3, 6, 13, 8, 16, 19, 16, 5]"
"['b', 'e', 'n', 'e', 'v', 'e', 'n', 't', 'o']","[3, 6, 15, 6, 23, 6, 15, 21, 16]"
"['b', 'e', 'n', 'g', 'a', 'l', 'i']","[3, 6, 15, 8, 2, 13, 10]"
"['b', 'e', 'n', 'i', 'n']","[3, 6, 15, 10, 15]"
"['b', 'e', 'n', 'i', 'n', 'e', 's', 'e']","[3, 6, 15, 10, 15, 6, 20, 6]"
"['b', 'e', 'r', 'g', 'a', 'm', 'a', 's', 'c', 'o']","[3, 6, 19, 8, 2, 14, 2, 20, 4, 16]"
"['b', 'e', 'r', 'g', 'a', 'm', 'o']","[3, 6, 19, 8, 2, 14, 16]"
"['b', 'e', 'r', 'l', 'i', 'n', 'e', 'r']","[3, 6, 19, 13, 10, 15, 6, 19]"
"['b', 'e', 'r', 'n', 'a', 'd', 'e', 't', 't', 'e']","[3, 6, 19, 15, 2, 5, 6, 21, 21, 6]"
"['b', 'e', 's', 'a', 'n', 'ç', 'o', 'n']","[3, 6, 20, 2, 15, 34, 16, 15]"
"['b', 'e', 't', 'a', 'w', 'i']","[3, 6, 21, 2, 24, 10]"
"['b', 'e', 'u', 'r', 'r', 'é']","[3, 6, 22, 19, 19, 36]"
"['b', 'h', 'a', 'd', 'r', 'a', 'p', 'a', 'd', 'a']","[3, 9, 2, 5, 19, 2, 17, 2, 5, 2]"
"['b', 'h', 'a', 'g', 'a']","[3, 9, 2, 8, 2]"
"['b', 'h', 'a', 'g', 'a', 'v', 'a', 'd', ' ', 'g', 'i', 't', 'a']","[3, 9, 2, 8, 2, 23, 2, 5, 0, 8, 10, 21, 2]"
"['b', 'h', 'a', 'r', 'a', 't']","[3, 9, 2, 19, 2, 21]"
"['b', 'h', 'a', 't']","[3, 9, 2, 21]"
"['b', 'h', 'a', 't', 't']","[3, 9, 2, 21, 21]"
"['b', 'h', 'a', 't', 't', 'a']","[3, 9, 2, 21, 21, 2]"
"['b', 'h', 'u', 'b', 'a', 'n', 'e', 's', 'w', 'a', 'r']","[3, 9, 22, 3, 2, 15, 6, 20, 24, 2, 19]"
"['b', 'h', 'u', 'm', 'i']","[3, 9, 22, 14, 10]"
"['b', 'i', 'c', 'h', 'o', 'n', ' ', 'f', 'r', 'i', 's', 'é']","[3, 10, 4, 9, 16, 15, 0, 7, 19, 10, 20, 36]"
"['b', 'i', 'e', 'l', 'l', 'a']","[3, 10, 6, 13, 13, 2]"
"['b', 'i', 'h', 'a', 'r']","[3, 10, 9, 2, 19]"
"['b', 'i', 'h', 'a', 'r', 'i']","[3, 10, 9, 2, 19, 10]"
"['b', 'i', 'k', 'i', 'n', 'i']","[3, 10, 12, 10, 15, 10]"
"['b', 'i', 'r', 'm', 'a', 'n']","[3, 10, 19, 14, 2, 15]"
"['b', 'i', 't', 'h', 'y', 'n', 'i', 'a']","[3, 10, 21, 9, 26, 15, 10, 2]"
"['b', 'l', 'a', 'g', 'o', 'v', 'e', 's', 'h', 'c', 'h', 'e', 'n', 's', 'k']","[3, 13, 2, 8, 16, 23, 6, 20, 9, 4, 9, 6, 15, 20, 12]"
"['b', 'l', 'o', 'c', ' ', 'q', 'u', 'é', 'b', 'é', 'c', 'o', 'i', 's']","[3, 13, 16, 4, 0, 18, 22, 36, 3, 36, 4, 16, 10, 20]"
"['b', 'o', 'g', 'o', 't', 'a', 'n']","[3, 16, 8, 16, 21, 2, 15]"
"['b', 'o', 'h', 'e', 'm', 'i', 'a', 'n']","[3, 16, 9, 6, 14, 10, 2, 15]"
"['b', 'o', 'i']","[3, 16, 10]"
"['b', 'o', 'l', 'l', 'y', 'w', 'o', 'o', 'd']","[3, 16, 13, 13, 26, 24, 16, 16, 5]"
"['b', 'o', 'l', 'l', 'y', 'w', 'o', 'o', 'd', 'i', 'a', 'n']","[3, 16, 13, 13, 26, 24, 16, 16, 5, 10, 2, 15]"
"['b', 'o', 'l', 's', 'h', 'e', 'v', 'i', 'k']","[3, 16, 13, 20, 9, 6, 23, 10, 12]"
"['b', 'o', 'l', 's', 'h', 'e', 'v', 'i', 's', 't']","[3, 16, 13, 20, 9, 6, 23, 10, 20, 21]"
"['b', 'o', 'l', 'z', 'a', 'n', 'o']","[3, 16, 13, 27, 2, 15, 16]"
"['b', 'o', 'm', 'b', 'a', 'y']","[3, 16, 14, 3, 2, 26]"
"['b', 'o', 'n', 'i', 'f', 'a', 'c', 'e']","[3, 16, 15, 10, 7, 2, 4, 6]"
"['b', 'o', 'r', 'd', 'e', 'a', 'u', 'x']","[3, 16, 19, 5, 6, 2, 22, 25]"
"['b', 'o', 'r', 'n', 'h', 'o', 'l', 'm']","[3, 16, 19, 15, 9, 16, 13, 14]"
"['b', 'o', 't', 'o', 'c', 'u', 'd', 'o']","[3, 16, 21, 16, 4, 22, 5, 16]"
"['b', 'o', 'u', 'l', 'a', 'n', 'g', 'e', 'r']","[3, 16, 22, 13, 2, 15, 8, 6, 19]"
"['b', 'o', 'y', 'n', 'e']","[3, 16, 26, 15, 6]"
"['b', 'o', 'z', 'a', 'l']","[3, 16, 27, 2, 13]"
"['b', 'o', 'ö', 't', 'e', 's']","[3, 16, 46, 21, 6, 20]"
"['b', 'r', 'a', 'c', 'h', 'm', 'a', 'n']","[3, 19, 2, 4, 9, 14, 2, 15]"
"['b', 'r', 'a', 'h', 'm', 'a']","[3, 19, 2, 9, 14, 2]"
"['b', 'r', 'a', 'h', 'm', 'a', 'n']","[3, 19, 2, 9, 14, 2, 15]"
"['b', 'r', 'a', 'h', 'm', 'a', 'n', 'a']","[3, 19, 2, 9, 14, 2, 15, 2]"
"['b', 'r', 'a', 'h', 'm', 'a', 'n', 'i', 's', 't']","[3, 19, 2, 9, 14, 2, 15, 10, 20, 21]"
"['b', 'r', 'a', 'h', 'm', 'a', 'p', 'u', 't', 'r', 'a']","[3, 19, 2, 9, 14, 2, 17, 22, 21, 19, 2]"
"['b', 'r', 'a', 'y', 'o', 'n']","[3, 19, 2, 26, 16, 15]"
"['b', 'r', 'a', 'z', 'o', 's']","[3, 19, 2, 27, 16, 20]"
"['b', 'r', 'e', 'n', 'n', 's', 'c', 'h', 'l', 'u', 's', 's']","[3, 19, 6, 15, 15, 20, 4, 9, 13, 22, 20, 20]"
"['b', 'r', 'e', 's', 'c', 'i', 'a']","[3, 19, 6, 20, 4, 10, 2]"
"['b', 'r', 'e', 's', 'l', 'a', 'u']","[3, 19, 6, 20, 13, 2, 22]"
"['b', 'r', 'e', 't', 'o', 'n']","[3, 19, 6, 21, 16, 15]"
"['b', 'r', 'i', 'a', 'n']","[3, 19, 10, 2, 15]"
"['b', 'r', 'i', 'a', 'r', 'e', 'a', 'n']","[3, 19, 10, 2, 19, 6, 2, 15]"
"['b', 'r', 'i', 'g', 'i', 'd']","[3, 19, 10, 8, 10, 5]"
"['b', 'r', 'i', 'n', 'd', 'i', 's', 'i']","[3, 19, 10, 15, 5, 10, 20, 10]"
"['b', 'r', 'i', 't', 'p', 'o', 'p']","[3, 19, 10, 21, 17, 16, 17]"
"['b', 'r', 'i', 't', 't', 'a', 'n', 'y']","[3, 19, 10, 21, 21, 2, 15, 26]"
"['b', 'r', 'u', 'c', 'k', 'n', 'e', 'r']","[3, 19, 22, 4, 12, 15, 6, 19]"
"['b', 'u', 'l', 'g', 'a', 'r']","[3, 22, 13, 8, 2, 19]"
"['b', 'u', 'l', 'g', 'a', 'r', 'i', 'a']","[3, 22, 13, 8, 2, 19, 10, 2]"
"['b', 'u', 'l', 'g', 'a', 'r', 'i', 'a', 'n']","[3, 22, 13, 8, 2, 19, 10, 2, 15]"
"['b', 'u', 'r', 'g', 'e', 's', 's', 'i', 'a', 'n']","[3, 22, 19, 8, 6, 20, 20, 10, 2, 15]"
"['b', 'u', 'r', 'h', 'a', 'n']","[3, 22, 19, 9, 2, 15]"
"['b', 'u', 's', 'a', 'n']","[3, 22, 20, 2, 15]"
"['b', 'y', 'b', 'l', 'o', 's']","[3, 26, 3, 13, 16, 20]"
"['c', 'a', 's', 'e', 'v', 'a', 'c']","[4, 2, 20, 6, 23, 2, 4]"
"['c', 'a', 'a', 'b', 'a']","[4, 2, 2, 3, 2]"
"['c', 'a', 'e', 's', 'a', 'r', 'e', 'a']","[4, 2, 6, 20, 2, 19, 6, 2]"
"['c', 'a', 'g', 'l', 'i', 'a', 'r', 'i']","[4, 2, 8, 13, 10, 2, 19, 10]"
"['c', 'a', 'i', 'n']","[4, 2, 10, 15]"
"['c', 'a', 'l', 'e', 'b']","[4, 2, 13, 6, 3]"
"['c', 'a', 'l', 'l', 'a', 'h', 'a', 'n']","[4, 2, 13, 13, 2, 9, 2, 15]"
"['c', 'a', 'l', 'v', 'a', 'r', 'y']","[4, 2, 13, 23, 2, 19, 26]"
"['c', 'a', 'm', 'a', 'r', 'g', 'u', 'e']","[4, 2, 14, 2, 19, 8, 22, 6]"
"['c', 'a', 'm', 'i', 'l', 'l', 'a']","[4, 2, 14, 10, 13, 13, 2]"
"['c', 'a', 'm', 'i', 'l', 'l', 'e']","[4, 2, 14, 10, 13, 13, 6]"
"['c', 'a', 'm', 'p', 'o', 'b', 'a', 's', 's', 'o']","[4, 2, 14, 17, 16, 3, 2, 20, 20, 16]"
"['c', 'a', 'n', 'a', 'd', 'i', 'e', 'n']","[4, 2, 15, 2, 5, 10, 6, 15]"
"['c', 'a', 'n', 'a', 'r', 'y', ' ', 'i', 's', 'l', 'a', 'n', 'd', 's']","[4, 2, 15, 2, 19, 26, 0, 10, 20, 13, 2, 15, 5, 20]"
"['c', 'a', 'n', 'c', 'e', 'r']","[4, 2, 15, 4, 6, 19]"
"['c', 'a', 'n', 'c', 'e', 'r', 'i', 'a', 'n']","[4, 2, 15, 4, 6, 19, 10, 2, 15]"
"['c', 'a', 'n', 'i', 'c', 'u', 'l', 'a']","[4, 2, 15, 10, 4, 22, 13, 2]"
"['c', 'a', 'n', 'o', 'p', 'u', 's']","[4, 2, 15, 16, 17, 22, 20]"
"['c', 'a', 'n', 't', 'a', 'l']","[4, 2, 15, 21, 2, 13]"
"['c', 'a', 'n', 't', 'o', 'r', 'i', 'a', 'n']","[4, 2, 15, 21, 16, 19, 10, 2, 15]"
"['c', 'a', 'p', 'e', ' ', 'v', 'e', 'r', 'd', 'e']","[4, 2, 17, 6, 0, 23, 6, 19, 5, 6]"
"['c', 'a', 'p', 'e', 'l', 'l', 'a']","[4, 2, 17, 6, 13, 13, 2]"
"['c', 'a', 'p', 'r', 'i', 'c', 'o', 'r', 'n']","[4, 2, 17, 19, 10, 4, 16, 19, 15]"
"['c', 'a', 'p', 's', 'i', 'a', 'n']","[4, 2, 17, 20, 10, 2, 15]"
"['c', 'a', 'r', 'b', 'o', 'r', 'u', 'n', 'd', 'u', 'm']","[4, 2, 19, 3, 16, 19, 22, 15, 5, 22, 14]"
"['c', 'a', 'r', 'm', 'e', 'l']","[4, 2, 19, 14, 6, 13]"
"['c', 'a', 'r', 'm', 'e', 'l', 'i', 't', 'e']","[4, 2, 19, 14, 6, 13, 10, 21, 6]"
"['c', 'a', 'r', 'm', 'e', 'n']","[4, 2, 19, 14, 6, 15]"
"['c', 'a', 'r', 't', 'a', 'g', 'e', 'n', 'a']","[4, 2, 19, 21, 2, 8, 6, 15, 2]"
"['c', 'a', 'r', 't', 'h', 'a', 'g', 'e']","[4, 2, 19, 21, 9, 2, 8, 6]"
"['c', 'a', 'r', 't', 'h', 'u', 's', 'i', 'a', 'n']","[4, 2, 19, 21, 9, 22, 20, 10, 2, 15]"
"['c', 'a', 's', 's', 'i', 'a', 'n']","[4, 2, 20, 20, 10, 2, 15]"
"['c', 'a', 's', 's', 'i', 'o', 'p', 'e', 'i', 'a']","[4, 2, 20, 20, 10, 16, 17, 6, 10, 2]"
"['c', 'a', 's', 's', 'i', 'u', 's']","[4, 2, 20, 20, 10, 22, 20]"
"['c', 'a', 's', 't', 'a', 'l', 'i', 'a', 'n']","[4, 2, 20, 21, 2, 13, 10, 2, 15]"
"['c', 'a', 't', 'a', 'l', 'a', 'n', 'o', 'p', 'h', 'i', 'l', 'e']","[4, 2, 21, 2, 13, 2, 15, 16, 17, 9, 10, 13, 6]"
"['c', 'a', 't', 'a', 'n', 'z', 'a', 'r', 'o']","[4, 2, 21, 2, 15, 27, 2, 19, 16]"
"['c', 'a', 't', 'h', 'e', 'r', 'i', 'n', 'e']","[4, 2, 21, 9, 6, 19, 10, 15, 6]"
"['c', 'a', 't', 'h', 'e', 'r', 'i', 'n', 'i', 'a', 'n']","[4, 2, 21, 9, 6, 19, 10, 15, 10, 2, 15]"
"['c', 'a', 't', 'h', 'o', 'l', 'i', 'c']","[4, 2, 21, 9, 16, 13, 10, 4]"
"['c', 'a', 't', 'i', 'l', 'i', 'n', 'a', 'r', 'i', 'a', 'n']","[4, 2, 21, 10, 13, 10, 15, 2, 19, 10, 2, 15]"
"['c', 'a', 't', 'o', 'n', 'i', 'a', 'n']","[4, 2, 21, 16, 15, 10, 2, 15]"
"['c', 'a', 'u', 'c', 'a', 's', 'i', 'a', 'n', ' ', 'a', 'l', 'b', 'a', 'n', 'i', 'a']","[4, 2, 22, 4, 2, 20, 10, 2, 15, 0, 2, 13, 3, 2, 15, 10, 2]"
"['c', 'e', 'c', 'i', 'l']","[4, 6, 4, 10, 13]"
"['c', 'e', 'c', 'i', 'l', 'i', 'a']","[4, 6, 4, 10, 13, 10, 2]"
"['c', 'e', 'l', 'i', 'a']","[4, 6, 13, 10, 2]"
"['c', 'e', 'l', 'i', 'n', 'e']","[4, 6, 13, 10, 15, 6]"
"['c', 'e', 'n', 't', 'a', 'u', 'r', 'u', 's']","[4, 6, 15, 21, 2, 22, 19, 22, 20]"
"['c', 'e', 'p', 'h', 'a', 's']","[4, 6, 17, 9, 2, 20]"
"['c', 'e', 'r', 'e', 'r', 'i', 'a', 'n']","[4, 6, 19, 6, 19, 10, 2, 15]"
"['c', 'e', 'r', 'e', 's']","[4, 6, 19, 6, 20]"
"['c', 'e', 't', 'u', 's']","[4, 6, 21, 22, 20]"
"['c', 'h', 'a', 'i', 't', 'r', 'a']","[4, 9, 2, 10, 21, 19, 2]"
"['c', 'h', 'a', 'k', 'r', 'a', 'v', 'a', 'k', 'a', 'm']","[4, 9, 2, 12, 19, 2, 23, 2, 12, 2, 14]"
"['c', 'h', 'a', 'l', 'a', 'n', ' ', 'b', 'e', 'e', 'l']","[4, 9, 2, 13, 2, 15, 0, 3, 6, 6, 13]"
"['c', 'h', 'a', 'l', 'd', 'a', 'i', 'c']","[4, 9, 2, 13, 5, 2, 10, 4]"
"['c', 'h', 'a', 'o', 'z', 'h', 'o', 'u']","[4, 9, 2, 16, 27, 9, 16, 22]"
"['c', 'h', 'a', 'p', 'a', 'r', 'i', 'a', 'n']","[4, 9, 2, 17, 2, 19, 10, 2, 15]"
"['c', 'h', 'a', 'r', 'l', 'e', 'm', 'a', 'g', 'n', 'e']","[4, 9, 2, 19, 13, 6, 14, 2, 8, 15, 6]"
"['c', 'h', 'a', 'r', 'l', 'o', 't', 't', 'e']","[4, 9, 2, 19, 13, 16, 21, 21, 6]"
"['c', 'h', 'a', 't', 'u', 'r', 'd', 'a', 's', 'h', 'i']","[4, 9, 2, 21, 22, 19, 5, 2, 20, 9, 10]"
"['c', 'h', 'a', 't', 'u', 'r', 't', 'h', 'i']","[4, 9, 2, 21, 22, 19, 21, 9, 10]"
"['c', 'h', 'a', 'v', 'a', 'c', 'a', 'n', 'o']","[4, 9, 2, 23, 2, 4, 2, 15, 16]"
"['c', 'h', 'a', 'z', 'a', 'l']","[4, 9, 2, 27, 2, 13]"
"['c', 'h', 'e', 'l', 'm']","[4, 9, 6, 13, 14]"
"['c', 'h', 'e', 'r', 'k', 'a', 's', 'y']","[4, 9, 6, 19, 12, 2, 20, 26]"
"['c', 'h', 'e', 'r', 'n', 'i', 'h', 'i', 'v']","[4, 9, 6, 19, 15, 10, 9, 10, 23]"
"['c', 'h', 'e', 'r', 'n', 'i', 'v', 't', 's', 'i']","[4, 9, 6, 19, 15, 10, 23, 21, 20, 10]"
"['c', 'h', 'e', 'r', 'n', 'o', 'b', 'y', 'l']","[4, 9, 6, 19, 15, 16, 3, 26, 13]"
"['c', 'h', 'e', 's', 't', 'e', 'r']","[4, 9, 6, 20, 21, 6, 19]"
"['c', 'h', 'i', 'a', 'n']","[4, 9, 10, 2, 15]"
"['c', 'h', 'i', 'a', 'y', 'i']","[4, 9, 10, 2, 26, 10]"
"['c', 'h', 'i', 'c', 'a', 'n', 'a']","[4, 9, 10, 4, 2, 15, 2]"
"['c', 'h', 'i', 'c', 'a', 'n', 'o']","[4, 9, 10, 4, 2, 15, 16]"
"['c', 'h', 'i', 'l', 'e']","[4, 9, 10, 13, 6]"
"['c', 'h', 'i', 'n', 'a']","[4, 9, 10, 15, 2]"
"['c', 'h', 'i', 'n', 'a', 't', 'o', 'w', 'n']","[4, 9, 10, 15, 2, 21, 16, 24, 15]"
"['c', 'h', 'i', 'n', 'a', 't', 'o', 'w', 'n', 'e', 'r']","[4, 9, 10, 15, 2, 21, 16, 24, 15, 6, 19]"
"['c', 'h', 'i', 'n', 'd', 'i', 'a']","[4, 9, 10, 15, 5, 10, 2]"
"['c', 'h', 'i', 'n', 'e', 's', 'e']","[4, 9, 10, 15, 6, 20, 6]"
"['c', 'h', 'i', 'n', 'e', 's', 'e', 'l', 'i', 'k', 'e']","[4, 9, 10, 15, 6, 20, 6, 13, 10, 12, 6]"
"['c', 'h', 'i', 'n', 'e', 's', 'e', 'l', 'y']","[4, 9, 10, 15, 6, 20, 6, 13, 26]"
"['c', 'h', 'i', 'n', 'e', 's', 'e', 'n', 'e', 's', 's']","[4, 9, 10, 15, 6, 20, 6, 15, 6, 20, 20]"
"['c', 'h', 'i', 'n', 'e', 's', 'e', 'y']","[4, 9, 10, 15, 6, 20, 6, 26]"
"['c', 'h', 'i', 'n', 'g', 'l', 'i', 's', 'h']","[4, 9, 10, 15, 8, 13, 10, 20, 9]"
"['c', 'h', 'o', 'l', 'o', 'n']","[4, 9, 16, 13, 16, 15]"
"['c', 'h', 'o', 'r', 'a', 's', 'm', 'i', 'a']","[4, 9, 16, 19, 2, 20, 14, 10, 2]"
"['c', 'h', 'o', 'r', 'a', 's', 'm', 'i', 'a', 'n']","[4, 9, 16, 19, 2, 20, 14, 10, 2, 15]"
"['c', 'h', 'r', 'i', 's', 't', 'i', 'a', 'n', 'i', 's', 'm']","[4, 9, 19, 10, 20, 21, 10, 2, 15, 10, 20, 14]"
"['c', 'h', 'r', 'i', 's', 't', 'i', 'n', 'e']","[4, 9, 19, 10, 20, 21, 10, 15, 6]"
"['c', 'h', 'u', 'k', 'c', 'h', 'i']","[4, 9, 22, 12, 4, 9, 10]"
"['c', 'h', 'u', 'm', 'a', 's', 'h']","[4, 9, 22, 14, 2, 20, 9]"
"['c', 'i', 'a', 'r', 'a', 'n']","[4, 10, 2, 19, 2, 15]"
"['c', 'i', 'c', 'e', 'r', 'o']","[4, 10, 4, 6, 19, 16]"
"['c', 'i', 'c', 'e', 'r', 'o', 'n', 'i', 'a', 'n']","[4, 10, 4, 6, 19, 16, 15, 10, 2, 15]"
"['c', 'i', 'c', 'e', 'r', 'o', 'n', 'i', 'a', 'n', 'i', 's', 'm']","[4, 10, 4, 6, 19, 16, 15, 10, 2, 15, 10, 20, 14]"
"['c', 'i', 'l', 'i', 'c', 'i', 'a']","[4, 10, 13, 10, 4, 10, 2]"
"['c', 'i', 'l', 'i', 'c', 'i', 'a', 'n']","[4, 10, 13, 10, 4, 10, 2, 15]"
"['c', 'i', 's', 'a', 't', 'l', 'a', 'n', 't', 'i', 'c']","[4, 10, 20, 2, 21, 13, 2, 15, 21, 10, 4]"
"['c', 'i', 's', 'k', 'e', 'i']","[4, 10, 20, 12, 6, 10]"
"['c', 'i', 't', 'l', 'a', 'l', 'i']","[4, 10, 21, 13, 2, 13, 10]"
"['c', 'l', 'a', 'r', 'a']","[4, 13, 2, 19, 2]"
"['c', 'l', 'e', 'l', 'i', 'a']","[4, 13, 6, 13, 10, 2]"
"['c', 'l', 'o', 'e', 'l', 'i', 'a']","[4, 13, 16, 6, 13, 10, 2]"
"['c', 'o', 'h', 'e', 'n']","[4, 16, 9, 6, 15]"
"['c', 'o', 'h', 'e', 'n', 'i', 'a', 'n']","[4, 16, 9, 6, 15, 10, 2, 15]"
"['c', 'o', 'l', 'o', 'g', 'n', 'e']","[4, 16, 13, 16, 8, 15, 6]"
"['c', 'o', 'l', 'o', 'g', 'n', 'i', 'a', 'n']","[4, 16, 13, 16, 8, 15, 10, 2, 15]"
"['c', 'o', 'l', 's', 'o', 'n']","[4, 16, 13, 20, 16, 15]"
"['c', 'o', 'l', 'u', 'm', 'b', 'a']","[4, 16, 13, 22, 14, 3, 2]"
"['c', 'o', 'l', 'u', 'm', 'b', 'u', 's']","[4, 16, 13, 22, 14, 3, 22, 20]"
"['c', 'o', 'm', 'i', 'n', 't', 'e', 'r', 'n']","[4, 16, 14, 10, 15, 21, 6, 19, 15]"
"['c', 'o', 'm', 'o']","[4, 16, 14, 16]"
"['c', 'o', 'n', 'f', 'u', 'c', 'i', 'u', 's']","[4, 16, 15, 7, 22, 4, 10, 22, 20]"
"['c', 'o', 'n', 'l', 'o', 'n']","[4, 16, 15, 13, 16, 15]"
"['c', 'o', 'n', 'o', 'r']","[4, 16, 15, 16, 19]"
"['c', 'o', 'p', 't']","[4, 16, 17, 21]"
"['c', 'o', 'r', 'd', 'o', 'b', 'a', 'n']","[4, 16, 19, 5, 16, 3, 2, 15]"
"['c', 'o', 'r', 'i', 'n', 't', 'h', 'i', 'a', 'c']","[4, 16, 19, 10, 15, 21, 9, 10, 2, 4]"
"['c', 'o', 'r', 'n', 'e', 'l', 'i', 'a']","[4, 16, 19, 15, 6, 13, 10, 2]"
"['c', 'o', 'r', 'n', 'e', 'l', 'i', 'u', 's']","[4, 16, 19, 15, 6, 13, 10, 22, 20]"
"['c', 'o', 'r', 's', 'i', 'c', 'a']","[4, 16, 19, 20, 10, 4, 2]"
"['c', 'o', 'r', 'v', 'u', 's']","[4, 16, 19, 23, 22, 20]"
"['c', 'o', 's', 'e', 'n', 'z', 'a']","[4, 16, 20, 6, 15, 27, 2]"
"['c', 'o', 's', 'm', 'a', 's']","[4, 16, 20, 14, 2, 20]"
"['c', 'o', 's', 't', 'a', ' ', 'r', 'i', 'c', 'a']","[4, 16, 20, 21, 2, 0, 19, 10, 4, 2]"
"['c', 'o', 'u', 'r', 'i', 's', 'h']","[4, 16, 22, 19, 10, 20, 9]"
"['c', 'o', 'u', 'r', 'l', 'a', 'n', 'd', 'i', 's', 'h']","[4, 16, 22, 19, 13, 2, 15, 5, 10, 20, 9]"
"['c', 'r', 'a', 't', 'e', 'r']","[4, 19, 2, 21, 6, 19]"
"['c', 'r', 'i', 's', 'p', 'i', 'n']","[4, 19, 10, 20, 17, 10, 15]"
"['c', 'r', 'i', 's', 'p', 'u', 's']","[4, 19, 10, 20, 17, 22, 20]"
